time,dragged,x,xpage,xtarget,y,ypage,ytarget,target,targetheight,targetwidth
1413353514386,0,892,892.0,561,279,194.0,6,"<div class=""r0""></div>",25.0,1232.0
1413353514481,0,890,890.0,559,279,194.0,6,"<div class=""r0""></div>",25.0,1232.0
1413353514492,0,886,886.0,555,277,192.0,4,"<div class=""r0""></div>",25.0,1232.0
1413353514503,0,880,880.0,549,274,189.0,1,"<div class=""r0""></div>",25.0,1232.0
1413353514515,0,870,870.0,539,268,183.0,11,"<div class=""prompt""></div>",16.0,1232.0
1413353514526,0,857,857.0,526,262,177.0,5,"<div class=""prompt""></div>",16.0,1232.0
1413353514537,0,842,842.0,518,254,169.0,67,"<div class=""formulation""></div>",196.0,1245.0
1413353514547,0,824,824.0,493,246,161.0,17,"<div class=""enableinput""></div>",19.0,1231.0
1413353514554,0,804,804.0,473,239,154.0,10,"<div class=""enableinput""></div>",19.0,1231.0
1413353514569,0,797,797.0,466,236,151.0,7,"<div class=""enableinput""></div>",19.0,1231.0
1413353514580,0,769,769.0,438,231,146.0,2,"<div class=""enableinput""></div>",19.0,1231.0
1413353514592,0,742,742.0,418,227,142.0,40,"<div class=""formulation""></div>",196.0,1245.0
1413353514606,0,716,716.0,392,223,138.0,36,"<div class=""formulation""></div>",196.0,1245.0
1413353514614,0,695,695.0,371,222,137.0,35,"<div class=""formulation""></div>",196.0,1245.0
1413353514624,0,673,673.0,349,222,137.0,35,"<div class=""formulation""></div>",196.0,1245.0
1413353514635,0,656,656.0,332,222,137.0,35,"<div class=""formulation""></div>",196.0,1245.0
1413353514646,0,641,641.0,317,222,137.0,35,"<div class=""formulation""></div>",196.0,1245.0
1413353514657,0,628,628.0,304,222,137.0,35,"<div class=""formulation""></div>",196.0,1245.0
1413353514668,0,617,617.0,293,222,137.0,35,"<div class=""formulation""></div>",196.0,1245.0
1413353514680,0,606,606.0,282,222,137.0,35,"<div class=""formulation""></div>",196.0,1245.0
1413353514690,0,596,596.0,272,224,139.0,37,"<div class=""formulation""></div>",196.0,1245.0
