time,dragged,x,xpage,xtarget,y,ypage,ytarget,target,targetheight,targetwidth
1413427172355,0,900,900.0,569,274,189.0,4,"<div class=""r1""></div>",25.0,1232.0
1413427172556,0,898,898.0,567,274,189.0,4,"<div class=""r1""></div>",25.0,1232.0
1413427172560,0,896,896.0,565,274,189.0,4,"<div class=""r1""></div>",25.0,1232.0
1413427172571,0,894,894.0,563,274,189.0,4,"<div class=""r1""></div>",25.0,1232.0
1413427172582,0,892,892.0,561,274,189.0,4,"<div class=""r1""></div>",25.0,1232.0
1413427172592,0,889,889.0,558,274,189.0,4,"<div class=""r1""></div>",25.0,1232.0
1413427172603,0,886,886.0,555,274,189.0,4,"<div class=""r1""></div>",25.0,1232.0
1413427172614,0,881,881.0,550,274,189.0,4,"<div class=""r1""></div>",25.0,1232.0
1413427172625,0,874,874.0,543,272,187.0,2,"<div class=""r1""></div>",25.0,1232.0
1413427172637,0,868,868.0,537,270,185.0,0,"<div class=""r1""></div>",25.0,1232.0
1413427172647,0,860,860.0,529,266,181.0,21,"<div class=""r0""></div>",25.0,1232.0
1413427172658,0,850,850.0,519,263,178.0,18,"<div class=""r0""></div>",25.0,1232.0
1413427172669,0,838,838.0,507,260,175.0,15,"<div class=""r0""></div>",25.0,1232.0
1413427172680,0,829,829.0,498,257,172.0,12,"<div class=""r0""></div>",25.0,1232.0
1413427172690,0,819,819.0,488,253,168.0,8,"<div class=""r0""></div>",25.0,1232.0
1413427172698,0,808,808.0,477,251,166.0,6,"<div class=""r0""></div>",25.0,1232.0
1413427172713,0,804,804.0,473,250,165.0,5,"<div class=""r0""></div>",25.0,1232.0
1413427172724,0,791,791.0,460,248,163.0,3,"<div class=""r0""></div>",25.0,1232.0
1413427172735,0,777,777.0,446,246,161.0,1,"<div class=""r0""></div>",25.0,1232.0
1413427172747,0,765,765.0,434,244,159.0,15,"<div class=""prompt""></div>",16.0,1232.0
1413427172758,0,752,752.0,421,242,157.0,13,"<div class=""prompt""></div>",16.0,1232.0
